sample_id,data_name,start,end,predicted_text,target_text
data55_0,data55,0.0,6.04,Chúng ta vừa khép lại phiên thảo luận thứ nhất. Chắc là tôi cũng xin phép tóm tắt sơ.,"Chúng ta vừa khép lại phiên thảo luận thứ nhất, chắc là tôi cũng xin phép tóm tắt sơ qua."
data55_1,data55,6.22,12.32,Có lẽ là từ mạnh mẽ và quyết liệt là những từ khóa mà được nhắc đến nhiều nhất trong phiên thảo luận vĩ mô vừa rồi.,Có lẽ là từ mạnh mẽ và quyết liệt là những từ khóa mà được nhắc đến nhiều nhất trong phiên thảo luận vĩ mô vừa rồi.
data55_2,data55,12.44,19.48,Chúng ta có thể thấy là một thông điệp mà nhà tạo lập chính sách đang gửi tới tất cả các doanh nghiệp và thị trường tài chính.,Chúng ta có thể thấy là một cái thông điệp mà nhà tạo lập chính sách đang gửi tới tất cả các doanh nghiệp và thị trường tài chính.
data55_3,data55,19.48,25.74,Về một chính sách kinh tế hỗ trợ mạnh mẽ toàn diện và nhanh chóng tới nền kinh tế.,"Về một cái chính sách kinh tế hỗ trợ mạnh mẽ, toàn diện và nhanh chóng tới nền kinh tế."
data55_4,data55,25.74,32.1,Trong một cái bối cảnh mà kinh tế thế giới đầy các yếu tố bất định như hiện nay.,Trong một cái bối cảnh mà kinh tế thế giới đầy các yếu tố bất định như hiện nay.
data55_5,data55,32.1,36.68,Lượng Việt Nam có là điểm sáng mới thu hút dòng vốn đầu tư gián tiếp nước ngoài.,Thì liệu Việt Nam có là điểm sáng mới thu hút dòng vốn đầu tư gián tiếp nước ngoài.
data55_6,data55,36.68,42.6,Và liệu chúng ta thị trường tài chính của chúng ta sẽ vươn mình giống như thông điệp.,Và liệu thị trường tài chính của chúng ta sẽ vươn mình giống như thông điệp.
data55_7,data55,42.6,52.2,Mà tổng bí thư đã nhắc đến trong kỷ nguyên vươn mình của chúng ta hay không. Thì hy vọng là phiên thảo luận thứ 2 chúng ta sẽ giải đáp được những vấn đề đó.,Mà Tổng Bí Thư đã nhắc đến trong kỷ nguyên vươn mình của chúng ta hay không thì hy vọng là phiên thảo luận thứ hai chúng ta sẽ giải đáp được những vấn đề đó.
data55_8,data55,53.42,75.13,"Trước tiên là đến với các quý vị viễn giả thì trong một bối cảnh vĩ mô toàn cầu biến động mạnh như hiện nay và nhiều ẩn số với vai trò là một nhà đầu tư tổ chức. Thì quan điểm đầu tư của các anh chị sẽ nghiêng về chiến lược đầu tư, phòng thủ, thận trọng hay là lạc quan, tìm kiếm cơ hội mới. Xin phép câu trả lời đầu tiên gửi tới.","Trước tiên là đến với các quý vị diễn giả. Trong một bối cảnh vĩ mô toàn cầu biến động mạnh hiện nay và nhiều ẩn số với vai trò là một nhà đầu tư tổ chức, thì quan điểm đầu tư của các anh chị sẽ nghiêng về chiến lược đầu tư phòng thủ, thận trọng hay là lạc quan tìm kiếm cơ hội mới? Xin phép câu trả lời đầu tiên gửi tới..."
data55_9,data55,75.67,79.32,Chị Lệ là tổng giám đốc quỹ EOB.,Chị Lệ là Tổng Giám đốc Quỹ IOP.
data55_10,data55,85.16,87.14,Cảm ơn trìu.,Cảm ơn Triều.
data55_11,data55,88.11,97.47,Trong bối cảnh kinh tế vĩ mô toàn cầu hiện tại như là các diễn giả đã trao đổi trong cái phiên thảo luận một thì với tư cách là nhà đầu tư.,Trong bối cảnh kinh tế vĩ mô toàn cầu hiện tại như là các diễn giả đã trao đổi trong cái phim thảo luận 1 thì với tư cách là nhà đầu tư tổ chức.
data55_12,data55,97.47,103.45,Thì chúng tôi nghĩ là cái chiến lược đầu tư thận trọng nó sẽ thích hợp hơn vì còn rất nhiều những cái bất ổn.,Thì chúng tôi nghĩ là cái chiến lược đầu tư thận trọng nó sẽ thích hợp hơn vì còn rất nhiều những cái bất ổn.
data55_13,data55,105.51,113.75,Hiện tại thì đối với lại thị trường Việt Nam thì chúng tôi nghiêng về các cái ngành và các cái công ty.,Hiện tại thì đối với lại thị trường Việt Nam thì chúng tôi nghiêng về các cái ngành và các cái công ty.
data55_14,data55,113.88,124.17,Mà tập trung vào các thế mạnh của kinh tế nội tại của Việt Nam. Và hạn chế đầu tư vào các ngành và công ty liên quan đến xuất khẩu.,Mà tập trung vào các thế mạnh của kinh tế nội tại của Việt Nam và hạn chế đầu tư vào các ngành và các công ty liên quan đến xuất khẩu.
data55_15,data55,124.75,132.31,Tuy nhiên thì chúng tôi cũng chủ động nắm bắt những cơ hội đầu tư tốt khi thị trường giảm.,Tuy nhiên thì chúng tôi cũng chủ động nắm bắt những cơ hội đầu tư tốt khi thị trường giảm sâu.
data55_16,data55,132.61,138.91,Đặc biệt là trong tháng 4 sau khi Mỹ công bố các cái mức thuế đối ứng lên các cái đối tác.,Đặc biệt là trong tháng 4 sau khi Mỹ công bố các mức thuế đối ứng lên các đối tác thương mại.
data55_17,data55,139.61,147.53,Rõ ràng là cái việc thị trường nhàm sâu trong tháng 4 đã đưa định giá của các cái công ty về một cái mức rất là hấp dẫn và đây thực sự là.,Rõ ràng là việc thị trường giảm sâu trong tháng 4 đã đưa định giá của các cái công ty về một cái mức rất là hấp dẫn và đây thực sự là.
data55_18,data55,147.53,155.87,"Cơ hội tốt cho những nhà đầu tư, tổ chức chuyên nghiệp mà có định hướng đầu tư lâu dài như chúng tôi tích lũy mua thêm.",Cái cơ hội tốt cho những cái nhà đầu tư tổ chức chuyên nghiệp mà có cái định hướng đầu tư lâu dài như chúng tôi tích lũy mua thêm.
data55_19,data55,155.97,165.31,Cổ phiếu của các cái công ty tốt và những cái công ty có cái câu chuyện tăng trưởng trong năm nay đặc biệt là như chúng ta đã nghe trong cái phiên thảo luận 1 là khi.,Cổ phiếu của các cái công ty tốt và những cái công ty có cái câu chuyện thăng trưởng trong năm nay. Đặc biệt là như chúng ta đã nghe trong cái phim thảo luận 1 là khi mà.
data55_20,data55,165.31,171.33,Chính phủ đang đẩy mạnh những cái sức mạnh nội tại đầu tư công và cái cách thể chế để.,"Chính phủ đang đẩy mạnh những cái sức mạnh nội tại, đầu tư công và cái cách thể chế để."
data55_21,data55,171.33,175.83,Giúp Việt Nam đạt được cái mức tăng trưởng cao trong năm nay.,Giúp Việt Nam đạt được cái mức tăng trưởng cao trong năm nay.
data55_22,data55,177.55,186.59,Cảm ơn chia sẻ của chị Lệ. Xin hỏi chị Giao với cũng là tư cách một tổng giám đốc một quỹ đầu tư thì quan điểm chị có đồng ý với quan điểm thận trọng của chị Lệ.,Cảm ơn chia sẻ của chị Lệ. Xin hỏi chị Giao với cũng là tư cách một tổng giám đốc một quỹ đầu tư. Thì quan điểm chị có đồng ý với quan điểm thận trọng của chị Lệ không ạ?
data55_23,data55,188.09,196.31,Thực ra thì các quỹ đầu tư thì cũng sẽ khá là tương đồng về cái gọi là philosophy về đầu tư. Thì thực ra là sẽ giống nhau.,Thực ra thì các quỹ đầu tư thì cũng sẽ khá là tương đồng. Về cái gọi là philosophy về đầu tư. Thì thực ra là sẽ giống nhau.
data55_24,data55,196.31,205.61,Thế nhưng mà thực ra ở đây thì tôi nghĩ là ở trong cái khán phòng này của mình thì ngoài các cái nhà đầu tư về quỹ cũng có rất là nhiều nhà đầu tư cá nhân hoặc là doanh nghiệp chẳng hạn.,Thế nhưng mà thực ra ở đây thì tôi nghĩ là. Ở trong cái khán phòng này của mình thì. Thì ngoài các nhà đầu tư về quỹ cũng có rất là nhiều nhà đầu tư cá nhân hoặc là doanh nghiệp chẳng hạn.
data55_25,data55,205.63,211.73,Thì tôi muốn nói ở góc độ nó rộng hơn một chút xíu không phải chỉ liên quan đến mỗi quỹ của chúng tôi.,Thì tôi muốn nói ở góc độ nó rộng hơn một chút xíu không phải chỉ liên quan đến mỗi quỹ của chúng tôi.
data55_26,data55,211.75,219.69,Bởi vì thực ra PVI thì là quản lý tiền đầu tư cho bảo hiểm. Thì bản chất là cái cách đầu tư đã vô cùng thận trọng rồi.,Bởi vì thực ra PVI thì là quản lý tiền đầu tư cho bảo hiểm. Thì bản chất là cái cách đầu tư đã vô cùng thận trọng rồi.
data55_27,data55,219.95,226.73,Thế nhưng mà mình muốn chia sẻ ở đây là cái cách mình ứng xử đối với các cái rủi ro trong thời gian vừa rồi nó là như thế nào.,Thế nhưng mà mình muốn chia sẻ ở đây là cái cách mình ứng xử đối với các cái rủi ro trong thời gian vừa rồi nó là như thế nào.
data55_28,data55,227.27,234.15,Thì thực sự mà nói nếu mà tôi nhớ là cái ngày mùng 2 tháng 4 đúng không ra cái chính sách về thuế như vậy.,Thì thực sự mà nói nếu mà tôi nhớ là cái ngày 2 tháng 4 đúng không? Ra cái chính sách về thuế như vậy.
data55_29,data55,234.43,241.66,Thì thực sự là rất là choáng cho tất cả các quỹ đầu tư. Tôi không biết các anh chị ở đây như thế nào nhưng mà không ai lường được cái chuyện đó.,Thì thực sự là rất là rất là chóng cho tất cả các quỹ đầu tư. Tôi không biết các anh chị ở đây như thế nào nhưng mà không ai lường được cái chuyện đó.
data55_30,data55,241.92,256.55,Và sau đó tôi nhớ là chỉ khoảng mấy ngày thôi. Không nhớ là hình như mùng 6 tháng 4 chính Việt Nam Bits là muốn có một cái gọi là round table để gọi là mời các cái chuyên gia để thảo luận về cái ảnh hưởng của cái chính sách thuế đấy.,"Và sau đó tôi nhớ là chỉ khoảng mấy ngày thôi, không nhớ là hình như mùng 6 tháng 4, chính Việt Nam BIS là muốn có một cái gọi là round table để gọi là mời các cái chuyên gia để thảo luận về cái ảnh hưởng của cái chính sách thuế đấy."
