sample_id,data_name,start,end,predicted_text,target_text
data52_0,data52,37.65,46.81,Cuối cùng thì cũng đã gặp được chị Minh Tuyết. Hello. Và Mai Tiến Dũng. Hello. Chào mừng cả hai chị em đã đến với bật nến của Dustin on the go.,Cuối cùng thì cũng đã gặp được chị Minh Tuyết và Mai Tiến Dũng. Chào mừng cả hai chị em đã đến với bậc nến của Dustin On The Go.
data52_1,data52,40.55,41.18,Hello.,Hello
data52_2,data52,42.33,43.57,Hello.,Hello
data52_3,data52,49.55,57.65,Thì bật nến là nơi mà bạn được sống thật là chính mình. Thông qua cái ánh nến thì mình hy vọng là ở đây mọi người sẽ được sưởi ấm.,Thì bậc nến là nơi mà bạn được sống thật là chính mình. Thông qua cái ánh nến thì mình hy vọng là ở đây mọi người sẽ được sủi ấm.
data52_4,data52,58.15,61.89,Mình sẽ tề tụ với nhau. Và đặc biệt bây giờ cũng là. Dịp cuối năm nữa.,Mình sẽ tệ tụ với nhau và đặc biệt bây giờ cũng là dịp cuối năm nữa.
data52_5,data52,63.16,66.88,Và Dustin cũng xin được. Gửi lời chúc mừng. Chị Minh Phước và Mai Tiến Dũng.,Và Dustin cũng xin được gửi lời chúc mừng chị Minh Tuyết và Mai Tiến Dũng.
data52_6,data52,66.88,78.34,Đã có những chương trình truyền hình thực tế rất là hot và mọi người cũng đã kịp nhảy lên cái chuyến tàu để cùng tham gia với lại các nghệ sĩ của Việt Nam mình thì rất là.,Bởi vì đã có những chương trình truyền hình thực tế rất là hot và mọi người cũng đã kịp nhảy lên cái chuyến tàu để cùng tham gia với lại các nghệ sĩ của Việt Nam mình thì rất là vui.
data52_7,data52,78.46,80.0,Trộn bí đi ạ.,"Trộm vía đi à, trộm vía."
data52_8,data52,79.72,81.71,Trộn vía đi ạ. Trộn viếng.,"Trộm vía đi ạ, trộm vía."
data52_9,data52,82.34,86.28,Truyền thống là mình sẽ thắp lên ngọn nến này để mình bắt đầu câu chuyện.,Truyền thống là mình sẽ thắp lên ngọn nến này để mình bắt đầu câu chuyện.
data52_10,data52,90.55,91.97,Mọi người ở nhà có hay bật,Mọi người ở nhà có hay bật nến không?
data52_11,data52,93.22,94.26,Mê nến luôn là khác.,Mê nến luôn là khác.
data52_12,data52,94.96,98.56,"Chị là chị hay bật nến, ông xã cũng vậy.",Chị là chị hay bật nến. Ông xã chị cũng vậy thích lắm.
data52_13,data52,98.56,104.14,Thích nến. Mình có mùi thơm. Xong rồi mình. Mình có thể thư giãn hơn.,Thích nến. Mình có mùi thơm. Xong rồi mình có thể thư giãn hơn.
data52_14,data52,100.8,101.7,Cảm ơn các bạn.,Đúng rồi
