sample_id,data_name,start,end,predicted_text,target_text
data2_0,data2,15.92,24.66,"Khá như, chào quý vị khán giả đang tham chương trình Chuyện Họ Chuyện Mình. Quý vị thân mến, chương trình do Đài Truyền hình TP.HCM phối hợp cùng với Madison Media Group thực hiện.",Khánh Như chào quý vị khán giả đang xem chương trình Chuyện Họ Chuyện Mình. Chương trình cho đài truyền hình TP.HCM phối hợp cùng với Madison Media Group thực hiện.
data2_1,data2,24.66,31.32,"Được phát sóng vào lúc 20h thứ 7 hàng tuần trên kênh HTV7. Như thông lệ, chuyện họ, chuyện mình sẽ tan đến mỗi tuần.",Điều phát sóng vào lúc 20h thứ 7 hằng tuần trên kênh HTV7. Như thường lệ Chuyện Họ Chuyện Mình sẽ sang đến mỗi tuần.
data2_2,data2,31.32,37.38,Hai nhân vật đặc biệt. Nhưng câu chuyện của họ luôn là vấn đề. Không riêng ở đây mà tất cả chúng ta ai cũng có thể gặp phải.,"Hai nhân vật đặc biệt, những câu chuyện của họ luôn là vấn đề. Không riêng ở đây mà tất cả chúng ta ai cũng có thể gặp phải."
data2_3,data2,37.38,45.48,Cho đó như rất là mong muốn là quý vị khán giả hãy luôn dành thời gian đến với chương trình. Bởi vì qua câu chuyện của những nhân vật ở đây chia sẻ.,Do đó như rất là mong muốn quý vị khán giả hãy luôn dành thời gian đến với chương trình. Bởi vì qua câu chuyện của những nhân vật ở đây chia sẻ.
data2_4,data2,45.48,54.2,Sẽ tìm ra được cái sự đồng điệu cũng như là những giải pháp hay là những kinh nghiệm để chúng ta có thể có thêm được nhiều cái sự thú vị trong cuộc sống và như thường lệ.,Chúng ta sẽ tìm ra được cái sự đồng điệu. Cũng như là những giải pháp. Hay là những kinh nghiệm để chúng ta có thể. Có thêm được nhiều cái sự thú vị trong cuộc sống. Và như thường lệ.
data2_5,data2,54.2,63.68,"Người bạn đồng hành của Như sẽ là một người bạn rất nhiều kinh nghiệm. Sự quyên bác về ngôn từ, sự thông minh về tất cả những tình.",Người bạn đồng hành của Như sẽ là một người bạn. Rất nhiều kinh nghiệm. Sự khuyên bác về ngôn từ. Sự thông minh về tất cả những tình huống.
data2_6,data2,63.68,66.58,Còn sống không ai khác đó chính là diễn viên Vy Cánh Thư.,Trong cuộc sống không ai khác. Đó chính là diễn viên Duy Khánh.
data2_7,data2,83.54,85.98,Em chưa bao giờ xuất hiện một cách đàn hoàng luôn. Khánh em sao vậy?,Em chưa bao giờ xuất hiện một cách đàng hoàng luôn Khánh. Em sao vậy?
data2_8,data2,85.98,88.32,Không giấu gì chị. Vào toàn thể tất cả mọi người.,"Không giấu gì chị, vào toàn thể tất cả mọi người ở đây."
data2_9,data2,88.32,90.62,"Không, giấu luôn dùm chị, giấu luôn dùm chị không cần chỉ.","Không giấu luôn dùm chị, giấu luôn dùm chị, không cần chia sẻ."
data2_10,data2,91.2,93.1,Thật sự tôi muốn nói với mọi người.,Thật sự tôi muốn nói với mọi người rằng.
data2_11,data2,93.1,94.04,Vẫn muốn nói chuyện với bạn. Cảm ơn các bạn.,Tôi là vẫn muốn nói.
data2_12,data2,94.54,97.54,Hôm nay em mới vừa tiếp nạp cho mình một loại kỹ.,Ngày hôm nay em mới vừa tiếp nạp theo cho mình một loại kỹ năng.
