sample_id,data_name,start,end,predicted_text,target_text
data19_0,data19,0.24,2.95,Nó có vị đấy. Hiểu gì biết không.,Nó có vị đấy. Nhưng thiếu gì biết không?
data19_1,data19,3.73,5.21,Thiếu một cái chiều sâu.,Thiếu một cái chiều sâu.
data19_2,data19,14.61,16.77,Cảm ơn các bạn. Cảm ơn.,Là cái gì?
data19_3,data19,16.93,19.65,Ân. Sao mơ lơ to quá.,Là sờ mờ lờ tờ.
data19_4,data19,20.89,23.21,Xin chào và hẹn gặp lại.,Xíu.
data19_5,data19,57.62,61.79,Cường S7 với Vũ Ngọc Anh đến với 3BD.,Welcome Cuong Seven với lại Vũ Ngọc Anh đến với 3Buddy. Yeah.
data19_6,data19,63.72,70.09,Xem rất là nhiều lần rồi mà hôm nay mới được mời mọi người ạ. Và hôm nay bọn tớ rất là vinh dự bởi vì bạn mời bọn tớ đến chương trình của bạn.,Tớ xem rất là nhiều lần rồi mà hôm nay mới được mời mọi người ạ. Và hôm nay bọn tớ rất là vinh dự bởi vì bạn mời bọn tớ đến chương trình của bạn.
data19_7,data19,72.33,79.26,Cô ngọc Anh đã chuẩn bị tinh thần để được thưởng thức những cái ly cocktail và những cái màn gọi là rất là hay thôi.,Cô Ngọc Anh đã chuẩn bị tinh thần để được thưởng thức những cái ly cocktail và những cái màn gọi là rất là hay ngô.
data19_8,data19,80.19,86.33,"Thực ra là tôi thấy là nếu mà nói chuyện ấy, xong rồi mình ngồi uống cocktail với nhau. Xong rồi nói chuyện tôi thấy khá là thoải mái.","Thực ra là tớ thấy là nếu mà nói chuyện ấy, xong rồi mình ngồi uống cocktail ở nhau xong rồi mình nói chuyện tớ thấy khá là thoải mái."
data19_9,data19,86.32,89.6,Là mình sẽ bao như chuyện là mình tuôn ra hết luôn.,Là mình sẽ bao nhiêu chuyện là mình tuôn ra hết luôn đó chồng?
data19_10,data19,89.61,94.2,"Không, không thua đâu. Tôi tỉnh táo. Chuyên tâm là tôi rất tỉnh táo.","Không, không tuôn đâu. Tớ tỉnh táo lắm. Yên tâm là tớ rất tỉnh táo."
data19_11,data19,94.2,98.09,Tớ là cũng phải cảm ơn hai vợ chồng. Tại vì đã đến dự đám cưới của tớ.,Tớ là cũng phải cảm ơn hai vợ chồng vì đã đến dự đám cưới của tớ.
data19_12,data19,98.58,103.01,Hai vợ chồng lúc nào cũng nhanh gọn lẹ say yes.,"Hai vợ chồng lúc nào cũng nhanh, gọn, lẹ, say yes."
data19_13,data19,103.39,107.62,"Thì tôi say yes rồi, tại vì tôi rất là quý bạn. Tôi xem rất là nhiều những cái tập mà talk show của bạn.","Thì tớ say yes thôi, tại vì tớ rất là quý bạn. Tớ xem rất là nhiều những cái tập mà talk show của bạn."
data19_14,data19,107.64,115.5,Mặc dù là hai đứa mình nói chuyện với nhau rất là ít. Nhưng mà có theo dõi nhau. Từ cũng có nói bạn là đôi lúc mình gặp nhau. Mình cảm nhận năng lượng.,"Mặc dù là hai đứa mình nói chuyện với nhau rất là ít, nhưng mà có theo dõi nhau. Tớ cũng có nói với bạn là đôi lúc mình gặp nhau ấy, mình cảm nhận năng lượng của nhau."
